Word,Definition
understand,know and comprehend the nature or meaning of
sure,having or feeling no doubt or uncertainty; confident and assured
reciting,recite in elocution
easier,posing no difficulty; requiring little effort
said,express in words
lecturing,teaching by giving a discourse on some subject (typically to a class)
finished,come or bring to a finish or an end
finally,after an unspecified period of time or an especially long delay
park,a large area of land preserved in its natural state as public property
slide,a small flat rectangular piece of glass on which specimens can be mounted for microscopic study
pushed,"move with force,"
friends,a person you know well and regard with affection and trust
care,the work of providing treatment for or attending to someone or something
like,"a similar kind; ,"
looked,perceive with attention; direct one's gaze towards
help,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
nervous,easily agitated
 ,unavailable
going,the act of departing
right,an abstract idea of that which is due to a person or governmental body by law or tradition or nature; ; - Eleanor Roosevelt
laughed,produce laughter
thirteen,the cardinal number that is the sum of twelve and one
practically,almost; nearly
summer,the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
times,a more or less definite period of time now or previously present
dozen,the cardinal number that is the sum of eleven and one
board,a committee having supervisory powers
jumped,move forward by leaps and bounds
age,how long something has existed
come,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
wanted,feel or have a desire for; want strongly
asked,inquire about
jump,a sudden and decisive increase
told,express in words
knew,be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
waiting,the act of waiting (remaining inactive in one place while expecting something)
ladder,steps consisting of two parallel members connected by rungs; for climbing up or down
boy,a youthful male person
cried,utter a sudden loud cry
ahead,having the leading position or higher score in a contest
acted,"perform an action, or work out or perform (an action)"
noticed,"discover or determine the existence, presence, or fact of"
pretty,pleasing by delicacy or grace; not imposing
sister,a female person who has the same parents as another person
minute,a unit of time equal to 60 seconds or 1/60th of an hour
got,come into the possession of something concrete or abstract
pool,an excavation that is (usually) filled with water
school,an educational institution
started,take the first step or steps in carrying out an action
words,the words that are spoken
blue,blue color or pigment; resembling the color of the clear sky in the daytime
thousand,the cardinal number that is the product of 10 and 100
different,unlike in nature or quality or form or degree
shades,spectacles that are darkened or polarized to protect the eyes from the glare of the sun
yeah,"not only so, but"
common,a piece of open land for recreational use in an urban area
friend,a person you know well and regard with affection and trust
find,a productive insight
need,a condition requiring relief
day,time for Earth to make a complete rotation on its axis
boss,a person who exercises control over workers
ruined,destroy completely; damage irreparably
swimming,the act of swimming; :
eleventh,position 11 in a countable series of things
grade,a body of students who are taught together
felt,a fabric made of compressed matted animal fibers
palm,the inner surface of the hand from the wrist to the base of the fingers
took,carry out
way,how something is done or how it happens
tomorrow,the day after today
liked,prefer or wish to do something
street,a thoroughfare (usually including sidewalks) that is lined with buildings
likes,"a similar kind; ,"
sighed,heave or utter a sigh; breathe deeply and heavily
open,a clear or unobstructed space or expanse of land or water
bar,a room or establishment where alcoholic drinks are served over a counter
candy,a rich sweet made of flavored sugar and often combined with fruit or nuts
shared,have in common
entrance,something that provides access (to get in or get out)
zoo,the facility where wild animals are housed for exhibition
wall,an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
sat,the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
bought,obtain by purchase; acquire by means of a financial transaction
shoulder,the part of the body between the neck and the upper arm
hand,the (prehensile) extremity of the superior limb
eyes,opinion or judgment
commanded,be in command of
quiet,a period of calm weather
roar,a deep prolonged loud noise
listened,hear with intention
night,the time after sunset and before sunrise while it is dark outside
wet,wetness caused by water
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
gotten,come into the possession of something concrete or abstract
bye,you advance to the next round in a tournament without playing an opponent
good,benefit
waving,the act of signaling by a movement of the hand
replied,react verbally
highest,greater than normal in degree or intensity or amount
little,a small amount or duration
sixteen,the cardinal number that is the sum of fifteen and one
tallest,great in vertical dimension; high in stature
diving,an athletic competition that involves diving into water
platform,a raised horizontal surface
high,a lofty level or position or degree
perfect,a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect)
kind,a category of things distinguished by some common characteristic or quality
positive,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution"
throw,the act of throwing (propelling something with a rapid movement of the arm and wrist)
super,a caretaker for an apartment house; represents the owner as janitor and rent collector
huge,unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge
meter,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
movies,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
changed,cause to change; make different; cause a transformation
beautiful,delighting the senses or exciting intellectual or emotional admiration
standing,social or financial or professional status or reputation
probably,with considerable certainty; without much doubt
send,cause to go somewhere
test,trying something to find out about it
sends,cause to go somewhere
professor,someone who is a member of the faculty at a college or university
correspondence,communication by the exchange of letters
classes,a collection of things sharing a common attribute
grades,a body of students who are taught together
history,the aggregate of past events
