chapter_number,chapter_title,tokens,pos,lemma,tag,dep,sentence,title,ent_word,ent_label
Chapter 1,The High Dive,understand,VERB,understand,VB,advcl,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,,
Chapter 1,The High Dive,me,PRON,i,PRP,dobj,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,,
Chapter 1,The High Dive,changed,VERB,change,VBN,conj,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,,
Chapter 1,The High Dive,need,VERB,need,VBP,ROOT,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,,
Chapter 1,The High Dive,Labor,PROPN,labor,NNP,compound,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,"Labor Day, 1958",DATE
Chapter 1,The High Dive,Day,PROPN,day,NNP,pobj,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,"Labor Day, 1958",DATE
Chapter 1,The High Dive,1958,NUM,1958,CD,npadvmod,"To understand me, and how I've changed, I need to go back to Labor Day, 1958.",,"Labor Day, 1958",DATE
Chapter 1,The High Dive,beautiful,ADJ,beautiful,JJ,amod,It was a beautiful day in September and I was standing on top of a diving board.,,,
Chapter 1,The High Dive,day,NOUN,day,NN,attr,It was a beautiful day in September and I was standing on top of a diving board.,,,
Chapter 1,The High Dive,September,PROPN,september,NNP,pobj,It was a beautiful day in September and I was standing on top of a diving board.,,September,DATE
Chapter 1,The High Dive,standing,VERB,stand,VBG,conj,It was a beautiful day in September and I was standing on top of a diving board.,,,
Chapter 1,The High Dive,diving,NOUN,diving,NN,compound,It was a beautiful day in September and I was standing on top of a diving board.,,,
Chapter 1,The High Dive,board,NOUN,board,NN,pobj,It was a beautiful day in September and I was standing on top of a diving board.,,,
Chapter 11,The Talisman,Pretty,ADV,pretty,RB,advmod,"Pretty soon, it was the last weekend in September, the last weekend before our presentation.",,,
Chapter 11,The Talisman,soon,ADV,soon,RB,advmod,"Pretty soon, it was the last weekend in September, the last weekend before our presentation.",,,
Chapter 11,The Talisman,weekend,NOUN,weekend,NN,attr,"Pretty soon, it was the last weekend in September, the last weekend before our presentation.",,the last weekend,DATE
Chapter 11,The Talisman,September,PROPN,september,NNP,pobj,"Pretty soon, it was the last weekend in September, the last weekend before our presentation.",,September,DATE
Chapter 11,The Talisman,weekend,NOUN,weekend,NN,npadvmod,"Pretty soon, it was the last weekend in September, the last weekend before our presentation.",,the last weekend,DATE
Chapter 11,The Talisman,presentation,NOUN,presentation,NN,pobj,"Pretty soon, it was the last weekend in September, the last weekend before our presentation.",,,
Chapter 27,At the Meeting,know,VERB,know,VBP,parataxis,“You know I've been to every meeting since the first one in September.,,,
Chapter 27,At the Meeting,meeting,NOUN,meeting,NN,pobj,“You know I've been to every meeting since the first one in September.,,,
Chapter 27,At the Meeting,September,PROPN,september,NNP,pobj,“You know I've been to every meeting since the first one in September.,,September,DATE
Chapter 1,The High Dive,perfect,ADJ,perfect,JJ,amod,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,,
Chapter 1,The High Dive,summer,NOUN,summer,NN,compound,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,summer day,DATE
Chapter 1,The High Dive,day,NOUN,day,NN,attr,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,summer day,DATE
Chapter 1,The High Dive,kind,NOUN,kind,NN,appos,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,,
Chapter 1,The High Dive,movies,NOUN,movie,NNS,pobj,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,,
Chapter 1,The High Dive,positive,ADJ,positive,JJ,acomp,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,,
Chapter 1,The High Dive,going,VERB,go,VBG,ccomp,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,,
Chapter 1,The High Dive,throw,VERB,throw,VB,xcomp,It was a perfect summer day—the kind you see in the movies—and I was positive I was going to throw up.,,,
Chapter 1,The High Dive,super,ADJ,super,JJ,amod,"It was the super-huge, five-meter-high platform diving board, the tallest at Fair Park Swimming Pool, probably the highest in all of Little Rock.",,,
