chapter_number,chapter_title,tokens,pos,lemma,tag,dep,sentence,title,ent_word,ent_label
Chapter 1,THE NEW POSTMASTER,ai,AUX,ai,VBP,aux,But I ain’t never been so wrong as I was about Emma Walker.,,,
Chapter 1,THE NEW POSTMASTER,wrong,ADJ,wrong,JJ,acomp,But I ain’t never been so wrong as I was about Emma Walker.,,,
Chapter 1,THE NEW POSTMASTER,Emma,PROPN,emma,NNP,compound,But I ain’t never been so wrong as I was about Emma Walker.,,Emma Walker,PERSON
Chapter 1,THE NEW POSTMASTER,Walker,PROPN,walker,NNP,pobj,But I ain’t never been so wrong as I was about Emma Walker.,Mrs. Walker,Emma Walker,PERSON
Chapter 60,THE POSTCARD,addressed,VERB,address,VBN,ROOT,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",,,
Chapter 60,THE POSTCARD,Dit,PROPN,dit,NNP,compound,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",,Dit Sims,PERSON
Chapter 60,THE POSTCARD,Sims,PROPN,sims,NNP,pobj,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",Mrs. Sims,Dit Sims,PERSON
Chapter 60,THE POSTCARD,Emma,PROPN,emma,NNP,compound,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",,Emma Walker,PERSON
Chapter 60,THE POSTCARD,Walker,PROPN,walker,NNP,conj,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",Mrs. Walker,Emma Walker,PERSON
Chapter 60,THE POSTCARD,Moundville,PROPN,moundville,NNP,pobj,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",,Moundville,GPE
Chapter 60,THE POSTCARD,Alabama,PROPN,alabama,NNP,appos,"It was addressed to Dit Sims and Emma Walker of Moundville, Alabama.",,Alabama,GPE
Chapter 1,THE NEW POSTMASTER,  ,SPACE,  ,_SP,dep,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
Chapter 1,THE NEW POSTMASTER,came,VERB,come,VBD,advcl,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
Chapter 1,THE NEW POSTMASTER,town,NOUN,town,NN,pobj,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
Chapter 1,THE NEW POSTMASTER,thought,VERB,think,VBD,ROOT,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
Chapter 1,THE NEW POSTMASTER,worst,ADJ,bad,JJS,amod,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
Chapter 1,THE NEW POSTMASTER,piece,NOUN,piece,NN,attr,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
Chapter 1,THE NEW POSTMASTER,bad,ADJ,bad,JJ,amod,"  When she first came to town, I thought she was the worst piece of bad luck I’d had since falling in the outhouse on my birthday.  ",,,
