Word,Synonyms
understand,"understand, realize, realise, see, read, interpret, translate, infer, sympathize, sympathise, empathize, empathise"
sure,"certain, sure, trusted, indisputable, surely, certainly, for sure, for certain, sure enough, sure as shooting"
reciting,"declaim, recite, retell, tell, narrate, recount, enumerate, itemize, itemise"
easier,"easy, easygoing, leisurely, gentle, soft, comfortable, prosperous, well-fixed, well-heeled, well-off, well-situated, well-to-do, light, loose, promiscuous, sluttish, wanton"
said,"state, say, tell, allege, aver, suppose, read, order, enjoin, pronounce, articulate, enounce, sound out, enunciate, aforesaid, aforementioned, said"
lecturing,"lecture, lecturing, talk, call on the carpet, take to task, rebuke, rag, trounce, reproof, reprimand, jaw, dress down, call down, scold, chide, berate, bawl out, remonstrate, chew out, chew up, have words, lambaste, lambast"
finished,"complete, finish, finish up, land up, fetch up, end up, wind up, end, stop, terminate, cease, eat up, polish off, finished, ruined"
finally,"finally, eventually, ultimately, in the end, at last, at long last, last, lastly, in conclusion"
park,"park, parkland, commons, common, green, ballpark, Park, Mungo Park, parking lot, car park, parking area"
slide,"slide, microscope slide, swoop, playground slide, sliding board, glide, coast, lantern slide, chute, slideway, sloping trough, skid, slip, slue, slew, slither"
pushed,"push, force, bear on, advertise, advertize, promote, tug, labor, labour, drive, crowd, crusade, fight, press, campaign, agitate"
friends,"friend, ally, acquaintance, supporter, protagonist, champion, admirer, booster, Friend, Quaker"
care,"care, attention, aid, tending, caution, precaution, forethought, concern, fear, charge, tutelage, guardianship, maintenance, upkeep, give care, wish, like, manage, deal, handle, worry"
like,"like, the like, the likes of, ilk, wish, care, similar, same, alike, comparable, corresponding"
looked,"look, appear, seem, search, front, face, attend, take care, see, expect, await, wait, count, bet, depend, calculate, reckon"
help,"aid, assist, assistance, help, assistant, helper, supporter, avail, service, facilitate, help oneself, serve"
nervous,"nervous, anxious, queasy, uneasy, unquiet, neural, aflutter, skittish, flighty, spooky"
 ,
going,"departure, going, going away, leaving, passing, loss, exit, expiration, release, sledding, travel, go, move, locomote, proceed, go away, depart, become, get, run, pass, lead, extend, sound, function, work, operate, run low, run short, survive, last, live, live on, endure, hold up, hold out, die, decease, perish, pass away, expire, kick the bucket, cash in one's chips, buy the farm, conk, give-up the ghost, drop dead, pop off, choke, croak, snuff it, belong, start, get going, blend, blend in, fit, rifle, plump, fail, go bad, give way, give out, conk out, break, break down"
right,"right, right field, rightfield, right wing, right hand, rightfulness, compensate, redress, correct, rectify, proper, right-hand, good, ripe, veracious, flop, properly, decently, decent, in good order, the right way, right on, mighty, mightily, powerful, justly, correctly, aright"
laughed,"laugh, express joy, express mirth"
thirteen,"thirteen, 13, XIII, baker's dozen, long dozen, xiii"
practically,"practically, much"
summer,"summer, summertime"
times,"times, multiplication, time, clip, clock time, fourth dimension, meter, metre, prison term, sentence, clock"
dozen,"twelve, 12, XII, dozen, xii"
board,"board, plank, table, display panel, display board, dining table, control panel, instrument panel, control board, panel, circuit board, circuit card, card, plug-in, add-in, gameboard, get on, room"
jumped,"jump, leap, bound, spring, startle, start, leap out, jump out, stand out, stick out, rise, climb up, jump off, derail, chute, parachute, jumpstart, jump-start, pass over, skip, skip over, alternate"
age,"age, historic period, eld, long time, years, old age, geezerhood, senesce, get on, mature, maturate"
come,"semen, seed, seminal fluid, ejaculate, cum, come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along"
wanted,"desire, want, need, require, wanted, cherished, precious, treasured"
asked,"ask, inquire, enquire, require, expect, necessitate, postulate, need, take, involve, call for, demand"
