Word,Synonyms
best,"best, topper, Best, C. H. Best, Charles Herbert Best, outdo, outflank, trump, scoop, better, good, full, estimable, honorable, respectable, beneficial, just, upright, adept, expert, practiced, proficient, skillful, skilful, dear, near, dependable, safe, secure, right, ripe, well, effective, in effect, in force, serious, sound, salutary, honest, undecomposed, unspoiled, unspoilt, easily, considerably, substantially, intimately, advantageously, comfortably"
finding,"determination, finding, find, happen, chance, bump, encounter, detect, observe, discover, notice, regain, determine, find out, ascertain, feel, witness, see, line up, get hold, come up, rule, receive, get, obtain, incur, recover, retrieve, find oneself"
old,"old, older, erstwhile, former, onetime, one-time, quondam, sometime, honest-to-god, honest-to-goodness, sure-enough, Old, previous"
newspaper,"newspaper, paper, newspaper publisher, newsprint"
unusual,"unusual, strange"
hey,
said,"state, say, tell, allege, aver, suppose, read, order, enjoin, pronounce, articulate, enounce, sound out, enunciate, aforesaid, aforementioned, said"
want,"privation, want, deprivation, neediness, lack, deficiency, need, wish, wishing, desire, require"
come,"semen, seed, seminal fluid, ejaculate, cum, come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along"
bomb,"bomb, bomb calorimeter, turkey, dud, bombard, fail, flunk, flush it"
shelter,"shelter, protection, tax shelter"
built,"construct, build, make, build up, work up, progress, establish, ramp up, built, reinforced"
little,"little, small, slight, fiddling, footling, lilliputian, niggling, piddling, piffling, petty, picayune, trivial, short, minuscule"
town,"town, townspeople, townsfolk, township, Town, Ithiel Town"
lived,"populate, dwell, live, inhabit, survive, last, live on, go, endure, hold up, hold out, exist, subsist, be, know, experience"
commuter,"commuter, commuter train"
train,"train, railroad train, string, caravan, wagon train, gearing, gear, geartrain, power train, develop, prepare, educate, discipline, check, condition, groom, school, cultivate, civilize, civilise, aim, take, take aim, direct, coach, rail, trail"
ride,"drive, ride, sit, tease, razz, rag, cod, tantalize, tantalise, bait, taunt, twit, rally, depend on, devolve on, depend upon, turn on, hinge on, hinge upon, mount"
caught,"catch, pick up, get, grab, take hold of, capture, hitch, arrest, overtake, catch up with, take in, overhear, watch, view, see, trip up, enamour, trance, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant"
fray,"affray, disturbance, fray, ruffle, frazzle, rub, fret, chafe, scratch"
jumped,"jump, leap, bound, spring, startle, start, leap out, jump out, stand out, stick out, rise, climb up, jump off, derail, chute, parachute, jumpstart, jump-start, pass over, skip, skip over, alternate"
dog,"dog, domestic dog, Canis familiaris, frump, cad, bounder, blackguard, hound, heel, frank, frankfurter, hotdog, hot dog, wiener, wienerwurst, weenie, pawl, detent, click, andiron, firedog, dog-iron, chase, chase after, trail, tail, tag, give chase, go after, track"
boots,"boot, bang, charge, rush, flush, thrill, kick, the boot, iron boot, iron heel, kicking, reboot, bring up"
help,"aid, assist, assistance, help, assistant, helper, supporter, avail, service, facilitate, help oneself, serve"
star,"star, ace, adept, champion, sensation, maven, mavin, virtuoso, genius, hotshot, superstar, whiz, whizz, wizard, wiz, principal, lead, headliner, asterisk, star topology, leading, prima, starring, stellar"
