Word,Synonyms
millions,"million, 1000000, one thousand thousand, meg, billion, trillion, zillion, jillion, gazillion"
stupid,"stupid, stupid person, stupe, dullard, dolt, pudding head, pudden-head, poor fish, pillock, dazed, stunned, stupefied, unintelligent"
metal,"metallic element, metal, alloy, metallic"
gate,"gate, logic gate"
felt,"felt, felt up, mat up, matt-up, matte up, matte, mat, feel, experience, find, sense, finger, palpate"
million,"million, 1000000, one thousand thousand, meg, billion, trillion, zillion, jillion, gazillion"
miles,"mile, statute mile, stat mi, land mile, international mile, mi, nautical mile, naut mi, knot, international nautical mile, air mile, sea mile, geographical mile, Admiralty mile, Roman mile, mil, Swedish mile"
stared,"gaze, stare, star, asterisk"
strand,"strand, chain, string, fibril, filament, Strand, maroon, ground, run aground"
hair,"hair, hair's-breadth, hairsbreadth, whisker, fuzz, tomentum, pilus, haircloth"
place,"topographic point, place, spot, property, stead, position, lieu, shoes, home, post, berth, office, billet, situation, station, seat, plaza, piazza, space, blank space, put, set, pose, lay, rate, rank, range, order, grade, locate, site, come in, come out, target, aim, direct, point, identify, localize, localise, invest, commit, send"
looked,"look, appear, seem, search, front, face, attend, take care, see, expect, await, wait, count, bet, depend, calculate, reckon"
mirror,mirror
combed,"comb, ransack, comb out, disentangle, combed"
fingers,"finger, fingerbreadth, finger's breadth, digit, thumb, feel"
separated,"separate, divide, disunite, part, distinguish, differentiate, secern, secernate, severalize, severalise, tell, tell apart, split, split up, dissever, carve up, classify, class, sort, assort, sort out, break, break up, fall apart, come apart, discriminate, single out, branch, ramify, fork, furcate, detached, isolated, separated, set-apart, spaced, disjointed, dislocated"
salon,"salon, beauty salon, beauty parlor, beauty parlour, beauty shop"
come,"semen, seed, seminal fluid, ejaculate, cum, come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along"
sleek,"slick, sleek, streamlined, aerodynamic, flowing, satiny, silken, silky, silklike"
line,"line, argumentation, logical argument, argument, line of reasoning, cable, transmission line, course, wrinkle, furrow, crease, crinkle, seam, pipeline, railway line, rail line, telephone line, phone line, telephone circuit, subscriber line, lineage, line of descent, descent, bloodline, blood line, blood, pedigree, ancestry, origin, parentage, stemma, stock, occupation, business, job, line of work, channel, communication channel, product line, line of products, line of merchandise, business line, line of business, agate line, credit line, line of credit, bank line, personal credit line, personal line of credit, tune, melody, air, strain, melodic line, melodic phrase, note, short letter, billet, dividing line, demarcation, contrast, production line, assembly line, run along, trace, draw, describe, delineate"
right,"right, right field, rightfield, right wing, right hand, rightfulness, compensate, redress, correct, rectify, proper, right-hand, good, ripe, veracious, flop, properly, decently, decent, in good order, the right way, right on, mighty, mightily, powerful, justly, correctly, aright"
came,"come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along"
life,"life, living, animation, aliveness, lifetime, life-time, lifespan, liveliness, spirit, sprightliness, biography, life story, life history, life sentence"
want,"privation, want, deprivation, neediness, lack, deficiency, need, wish, wishing, desire, require"
sweetie,"sweetheart, sweetie, steady, truelove"
mom,"ma, mama, mamma, mom, momma, mommy, mammy, mum, mummy"
straightening,"straighten, unbend, straighten out, tidy, tidy up, clean up, neaten, square away, roll out"
stood,"stand, stand up, remain firm, digest, endure, stick out, stomach, bear, tolerate, support, brook, abide, suffer, put up, place upright, resist, fend"
allergy,"allergy, allergic reaction"
black,"black, blackness, inkiness, total darkness, lightlessness, pitch blackness, Black, Joseph Black, Shirley Temple Black, Shirley Temple, Black person, blackamoor, Negro, Negroid, blacken, melanize, melanise, nigrify, bleak, dim, dark, sinister, calamitous, disastrous, fatal, fateful, blackened, pitch-black, pitch-dark, grim, mordant, bootleg, black-market, contraband, smuggled, disgraceful, ignominious, inglorious, opprobrious, shameful, smutty"
slacks,"slacks, slack, slump, drop-off, falloff, falling off, slack water, mire, quagmire, quag, morass, slackness, slacken, slack up, relax, slow, slow down, slow up, slake, abate, let up, slack off, die away"
job,"occupation, business, job, line of work, line, task, chore, problem, Job, Book of Job, caper, subcontract, farm out, speculate"
interview,"interview, consultation, audience, question"
crisp,"chip, crisp, potato chip, Saratoga chip, wrinkle, ruckle, crease, crinkle, scrunch, scrunch up, crispen, toast, sharp, crispy, frosty, nipping, nippy, snappy, frizzly, frizzy, kinky, nappy, curt, laconic, terse"
dark,"dark, darkness, iniquity, wickedness, shadow, night, nighttime, black, sinister, dour, glowering, glum, moody, morose, saturnine, sour, sullen, benighted, obscure, blue, dingy, disconsolate, dismal, gloomy, grim, sorry, drab, drear, dreary, colored, coloured, dark-skinned, non-white"
feet,"foot, human foot, pes, ft, animal foot, foundation, base, fundament, groundwork, substructure, understructure, invertebrate foot, infantry, metrical foot, metrical unit"
thought,"idea, thought, thinking, thought process, cerebration, intellection, mentation, opinion, sentiment, persuasion, view, think, believe, consider, conceive, opine, suppose, imagine, reckon, guess, cogitate, cerebrate, remember, retrieve, recall, call back, call up, recollect, intend, mean"
bounced,"bounce, resile, take a hop, spring, bound, rebound, recoil, reverberate, ricochet, jounce"
